airbnb_neighborhood,n,median_price,mean_price,median_distance_km
Bertioga,119,2426.333333333333,5436.784142857143,71.57263598026005
Riviera De Sao Lourenco,285,2074.6666666666665,4345.557543859649,70.10046552300845
Guadalajara,87,537.7333333333333,896.8317701149425,7868.530093010208
Morumbi,58,438.01666666666665,629.0925287356322,6.802481897352868
Vila Olímpia,226,402.0,602.7743436578172,4.333013029493449
Alvinópolis,155,370.6666666666667,514.298488172043,0.8343904059238878
Higienópolis,32,364.79999999999995,480.18564583333335,2.3826466038725123
Paraíso,65,340.6666666666667,554.8789743589743,1.6344748429002414
Jardim Paulista,450,340.0,632.1345459259259,0.9646519113394627
Pinheiros,464,324.0,456.45432902298853,2.766258416446177
Itaim Bibi,522,312.26666666666665,481.3862771392082,6.40209217302867
Butantã,74,301.1,655.3184684684685,5.015947503205259
Consolação,249,297.0,485.2262168674699,1.4476952527223967
Pompéia,157,285.4,325.09331634819534,4.514316625920467
Santo Amaro,293,279.3333333333333,533.8658612059158,8.520438578846427
Bela Vista,355,278.0,515.6273323943662,1.511449557533012
Guarulhos,38,274.9666666666667,571.474350877193,18.080283143822008
Vila Guilherme,46,274.0333333333333,355.9251304347826,8.228196389950561
São Paulo,3741,273.4,505.15923469660515,4.452976002488349
Brás,233,269.0,420.48261802575104,4.862208917441604
Tatuapé,160,268.9666666666667,343.38292916666666,9.848083811562768
Jardim Analia Franco,61,265.53333333333336,372.92698907103824,9.509491740745855
Vila Madalena,155,260.3333333333333,318.11955913978494,3.606176491110367
Liberdade,118,259.1666666666667,361.95983050847457,2.6084522100145455
Barra Funda,309,258.3333333333333,387.6951736785329,4.214884007477234
Santana,124,257.53333333333336,317.3467956989247,8.220359636801124
Campinas,83,255.8,383.20835341365466,84.69228835598857
Americana,48,252.11666666666667,684.4375,114.61392824233828
Santa Cecília,110,251.33333333333331,371.1727393939394,3.2621661536836437
Perdizes,149,250.66666666666663,420.27045413870246,3.5926945367286685
Lapa,61,245.66666666666663,258.85024043715845,6.461886123503041
Vila Anita,56,245.23333333333335,356.6101190476191,3.5973457076190183
Centro,71,243.79999999999998,317.694572769953,16.605527604031288
Jabaquara,67,243.33333333333331,546.6236119402985,9.213911448611979
Vila Mariana,431,239.53333333333333,346.61953750966745,3.4713306667850055
Campo Belo,193,236.13333333333333,295.7875371329879,6.663115930716852
Bom Retiro,48,231.0,304.14166666666665,4.748039092983268
Barcelona,36,229.86666666666667,233.81496296296297,12.555709524979363
República,399,223.13333333333333,366.9949857978279,2.7684197845008183
Ipiranga,98,219.36666666666665,251.78295918367346,6.459215470547301
Tucuruvi,59,206.0,284.4005649717514,11.075808343996174
Belém,92,205.89999999999998,254.76188405797103,7.682059171280541
Sé,75,202.49999999999997,316.31404444444445,3.1535621666038764
Água Rasa,67,139.46666666666667,204.65671641791045,9.481799137583838
