airbnb_neighborhood,n,median_distance_km,median_price
Riviera De Sao Lourenco,285,70.10046552300845,2074.6666666666665
Bertioga,118,71.57840472427444,2438.583333333333
Guadalajara,87,7868.530093010208,537.7333333333333
Campinas,83,84.69228835598857,255.8
Americana,48,114.61392824233828,252.11666666666667
Zapopan,29,7872.992857858878,833.5333333333333
Centro,24,114.60804330408405,142.31666666666666
Lapa,15,80.56857989662738,168.6
São Lourenço,15,71.79592911554714,3539.4666666666667
Ourinhos,14,334.12174720519306,210.26666666666665
Hortolândia,12,93.20817653469389,269.9333333333333
Cidade Universitária,11,92.58124762708765,235.102
Riviera de São Lourenço,10,71.74573012669401,2395.2333333333336
Monte Mor,9,94.3157988215669,207.66666666666663
Santa Bárbara d'Oeste,6,118.68226757197279,333.29999999999995
Loteamento Remanso Campineiro,6,96.17633325683208,258.7166666666667
Paulinia,5,102.41087575564849,323.6666666666667
Sumaré,5,99.67646434005495,302.8
Mogi das Cruzes,4,51.50090569180654,1761.7333333333331
Botafogo,4,84.89980459861252,227.10000000000002
Santa Cecilia,3,102.15382134889603,205.7333333333333
Jardim São Paulo,3,113.55942735383832,116.86666666666666
Parque Monte Líbano,3,49.188585544986985,397.6666666666667
Vila Satúrnia,3,84.08073592260335,275.3333333333333
Jardim Chapadão,3,86.0794726819827,193.7333333333333
Piracicaba,3,130.9189873648984,109.06666666666666
Jardim do Lago,2,82.67829951644069,511.1
Vila Oliveira,2,49.473874837542425,831.4
Vila Santa Catarina,2,113.5956678422558,220.46666666666667
Riviera de São Lourenço ,2,70.63594949091045,2283.666666666667
Mollon IV,2,115.95156931658768,244.43333333333334
Bonfim,2,85.03359441280512,195.5
Jardim Aparecida,2,91.98280803867814,171.93333333333334
Nova Odessa,2,107.6777521040924,318.8666666666667
Jardim Santa Genebra II,1,92.06946049590695,113.4
Jacarezinho,1,337.8606325539573,182.0
Arruamento Luiz Vicentin,1,92.16408919491599,230.53333333333333
Brieds,1,112.69330554580165,203.4873333333333
Dois Córregos,1,132.1047431477322,219.26666666666668
Jardim America II,1,113.24221016542218,167.53333333333333
Jardim Amanda I,1,94.18780104073393,1491.0
Jardim Garcia,1,86.15615346031989,191.8
Jardim Guanabara,1,86.16402414793127,317.3333333333333
Loteamento Parque Centenario,1,78.12919556829057,126.46666666666668
Jardim Nova América,1,77.63586324865723,314.26666666666665
Jardim Nova Califórnia,1,80.86544085172986,209.46666666666667
Residencial Dona Margarida,1,119.92282020155983,227.16666666666669
Parque Industrial,1,83.26494574364895,236.53333333333333
Nazaré Paulista,1,50.48034382336398,6562.074
Parque Itália,1,83.18713775713468,353.6666666666667
Praia Da Enseada,1,62.40975370835288,18122.0
Riviera de Sao Lourenco,1,71.596216107116,1382.3333333333333
Riviera São Lourenço ,1,71.53840879709449,2908.0
Tlaquepaque,1,7866.218917591681,512.3173333333333
Riviera de Sao Lourenço,1,69.78981588392311,2896.0
Vila Massucheto,1,115.08982114018228,359.33333333333337
Vila Industrial,1,83.92715616714054,370.9666666666666
Vila Dainese,1,116.04683825155189,179.76666666666665
Vila Belvedere,1,113.60716214385283,139.0
